strategy,symbol,entry_date,exit_date,holding_days,entry_price,exit_price,shares,pnl,pnl_pct,commission,entry_value,exit_value,sector,overall_quality_score,balance_sheet_quality_score,cash_flow_quality_score,income_statement_quality_score,bs_liquidity_score,bs_leverage_score,bs_asset_quality_score,cf_generation_score,cf_efficiency_score,cf_sustainability_score,is_profitability_score,is_margin_score,is_growth_score,success_probability
rsi_divergence,BRLSW,2025-06-02,2025-06-11,9,0.095,0.112,21052,353.52623600000004,17.67684210526316,4.357764,1999.94,2357.824,CONSUMER DEFENSIVE,31.26024858516312,50.0,26.182571470191263,18.0,50.0,50.0,50.0,0.0,24.67891176281555,100.0,0.0,0.0,100.0,0.9530573
rsi_divergence,OFS,2025-05-29,2025-06-18,20,8.28,9.1,241,193.4314200000001,9.693478260869572,4.18858,1995.48,2193.1,FINANCIAL SERVICES,32.872653766260406,50.0,41.872435013866806,7.513971210836352,50.0,50.0,50.0,67.181087534667,50.0,0.0,0.0,49.11092294664283,0.0,0.93137264
rsi_divergence,CTSO,2025-05-29,2025-06-23,25,0.82,1.26,2439,1068.08688,53.4048780487805,5.073119999999999,1999.98,3073.14,HEALTHCARE,26.66349429308064,50.0,10.266573694557408,19.928014629049105,50.0,50.0,50.0,4.855858201397711,15.6466876971737,26.76728086552177,0.0,50.0,80.24846162777196,0.936262
rsi_divergence,CRML,2025-06-06,2025-06-26,20,1.37,3.66,1459,3333.7712300000007,166.78613138686134,7.33877,1998.83,5339.9400000000005,BASIC MATERIALS,23.290921573798947,50.0,2.033095678178624,18.0,50.0,50.0,50.0,1.1926686119507988,0.0,8.09118317539238,0.0,50.0,50.0,0.9719415
rsi_divergence,YB,2025-05-28,2025-06-27,30,14.51,21.92,137,1010.1790900000004,50.81716057891113,4.99091,1987.87,3003.0400000000004,TECHNOLOGY,61.900000000000006,50.0,,85.0,50.0,50.0,50.0,79.17805658342807,,50.0,100.0,100.0,50.0,0.94426334
rsi_divergence,NTIC,2025-05-28,2025-07-01,34,7.2,8.29,277,297.63926999999984,14.923749999999991,4.29073,1994.4,2296.33,BASIC MATERIALS,22.23650042459765,50.0,1.5451371079974172,15.372368173407375,50.0,50.0,50.0,5.51834681427649,0.0,0.0,0.0,35.40204540781877,50.0,0.9420769
rsi_divergence,ACON,2025-06-03,2025-07-07,34,6.45,7.75,310,398.598,19.93488372093024,4.402,1999.5,2402.5,HEALTHCARE,25.71675104312204,50.0,12.34889048660606,15.122403478064816,50.0,50.0,50.0,6.271973393935598,9.002698245457113,41.43891097503857,0.0,3.943617356723491,94.8956210620008,0.9172411
rsi_divergence,SHPH,2025-06-03,2025-07-15,42,0.168,4.7,11904,53890.979328,2694.7214285714285,57.94867200000001,1999.872,55948.8,HEALTHCARE,43.018939785688445,50.0,28.84527207784376,,50.0,50.0,50.0,4.805960415792666,30.950491244865784,100.0,,,0.0,0.92612606
rsi_divergence,SBSI,2025-06-02,2025-07-17,45,27.78,31.16,71,235.79526,11.954859611231102,4.184740000000001,1972.38,2212.36,FINANCIAL SERVICES,25.643973091182268,50.0,21.0,6.511685562300793,50.0,50.0,50.0,0.0,0.0,100.0,0.0,2.8321631109908543,18.87345543001179,0.90542865
rsi_divergence,WALDW,2025-06-25,2025-07-17,22,0.0531,0.0898,37664,1376.8866144000003,68.84576271186442,5.382185600000001,1999.9584,3382.2272000000003,CONSUMER DEFENSIVE,50.0,50.0,,,50.0,50.0,50.0,14.890603732297286,,0.0,,,,0.9076262
rsi_divergence,SPMC,2025-06-23,2025-07-17,24,16.9,18.44,118,177.54988000000026,8.90331360946747,4.17012,1994.2,2175.92,,50.0,50.0,,,50.0,50.0,50.0,14.890603732297286,,0.0,,,,0.9025664
rsi_divergence,AUPH,2025-07-07,2025-07-17,10,7.47,9.07,267,422.7838200000001,21.197590361445787,4.41618,1994.49,2421.69,HEALTHCARE,80.68342743789084,50.0,98.63197679946686,93.043750276667,50.0,50.0,50.0,100.0,95.43992266488954,100.0,100.0,100.0,76.81250092222335,0.9577175
rsi_divergence,FGL,2025-06-05,2025-07-18,43,0.9615,1.0,2080,76.00007999999993,3.8001560062402455,4.07992,1999.92,2080.0,INDUSTRIALS,50.0,50.0,,,50.0,50.0,50.0,14.890603732297286,,,0.0,0.0,,0.9104594
rsi_divergence,ADGM,2025-06-05,2025-07-23,48,1.12,1.77,1785,1155.0913499999997,57.77767857142854,5.158650000000001,1999.2000000000005,3159.45,HEALTHCARE,33.860291738600345,50.0,1.0917931472737772,,50.0,50.0,50.0,3.89926124026349,0.0,0.0,,,100.0,0.9577238
rsi_divergence,GLE,2025-07-01,2025-07-23,22,1.45,3.6,1379,2957.8860500000005,147.9275862068966,6.9639500000000005,1999.55,4964.400000000001,TECHNOLOGY,50.0,50.0,,,50.0,50.0,50.0,4.871444099994511,50.0,,0.0,0.0,,0.90059525
rsi_divergence,MESO,2025-06-23,2025-07-24,31,10.16,16.98,196,1331.4005599999998,66.85885826771653,5.31944,1991.36,3328.08,HEALTHCARE,50.0,50.0,,,50.0,50.0,50.0,14.189233271297615,,0.0,,,,0.93599236
rsi_divergence,PCTY,2025-06-18,2025-07-24,36,176.45,188.14,11,124.57951000000014,6.418481156134891,4.01049,1940.95,2069.54,TECHNOLOGY,63.44703602008953,50.0,73.82703063081841,66.42387032917486,50.0,50.0,50.0,90.4531668022303,100.0,25.48587969975428,33.78771694285727,76.36261184010652,100.0,0.9409306
