strategy,total_trades,winning_trades,losing_trades,win_rate,total_return,total_return_pct,avg_trade_return,avg_trade_return_pct,max_drawdown,sharpe_ratio,profit_factor,avg_holding_days,total_commission,gross_profit,gross_loss
rsi_divergence,1026,880,146,85.77%,1741473.8094963,1741.47%,1697.3428942459066,85.05%,-2.22%,4.12,37.39,107.7,5806.1894037,1789327.9290948,47854.11959850001
rsi_mean_reversion,383,302,81,78.85%,172673.42109340001,172.67%,450.844441497128,22.69%,-2.34%,5.20,8.92,113.7,1684.4959066000001,194467.99345860002,21794.5723652
williams_extremes,7,5,2,71.43%,583.0240516999997,0.58%,83.2891502428571,4.18%,-0.26%,8.92,3.27,21.0,28.5702483,839.6559076999998,256.63185599999997
