strategy,total_trades,winning_trades,losing_trades,win_rate,total_return,total_return_pct,avg_trade_return,avg_trade_return_pct,max_drawdown,sharpe_ratio,profit_factor,avg_holding_days,total_commission,gross_profit,gross_loss
williams_extremes,28128,17511,10617,62.254692832764505,8912020.8640939,8912.0208640939,316.8380568861597,15.850880048967861,-2.341333340913741,0.17572729961092967,5.75032523634764,25.372226962457336,120379.7150061,10788107.3256908,1876086.4615968997
rsi_divergence,2650,2305,345,86.9811320754717,4288177.5365065,4288.1775365065005,1618.180202455283,81.04769239553909,-0.13417021945653196,1.6608630478725699,48.311813511129024,107.5532075471698,14798.1791935,4378814.0439297,90636.5074232
rsi_mean_reversion,4095,3261,834,79.63369963369964,3232293.7187698996,3232.2937187699,789.3269154505249,39.57394237938708,-0.6762133785804194,2.8656648939018767,14.301200570116404,107.48327228327229,19479.6113301,3475301.3857644,243007.66699449997
price_breakout,35776,11850,23926,33.12276386404293,3109128.3042988996,3109.1283042988994,86.90541995468749,4.3462871245897325,-985.1839266906709,0.450499054892327,1.7295124795456411,46.1528957960644,144871.40540110003,7371054.441923499,4261926.1376246
macd_histogram_reversal,40527,11343,29184,27.9887482419128,2378995.3096364,2378.9953096364,58.701490602225675,2.930262146570245,-201.61488004312477,0.38097484658285063,1.6829083502424127,16.083672613319514,163041.7057636,5862618.417762,3483623.1081256005
volume_spike,7750,2549,5201,32.89032258064516,2006469.3606227003,2006.4693606227004,258.89927233841297,12.936619518949817,-129.2511501283851,0.7192394175147876,2.0642620409797297,46.18954838709677,32875.3186773,3891784.5211405,1885315.1605178
trend_following,19005,4870,14135,25.624835569586953,648662.2056530998,648.6622056530998,34.13113420958168,1.7100562248807398,-478.8090304324385,0.21193685072221657,1.2804849642130407,37.050776111549595,76018.5862469,2961307.4038478006,2312645.1981947
ema_crossover,25902,6370,19532,24.59269554474558,422659.2917990001,422.65929179900013,16.317631526484444,0.8178179681125651,-744.756410613999,0.20429246508391138,1.15209297651384,30.86800247085167,103139.489001,3201612.6760175,2778953.3842185
ma_ribbon,6168,1932,4236,31.32295719844358,-64074.44922919996,-64.07444922919996,-10.388205127950707,-0.5472312025411955,-600.296269572509,-0.08357031702054286,0.9507834896539372,83.05317769130998,24383.6822292,1237814.871624,1301889.3208532
