strategy,total_trades,winning_trades,losing_trades,win_rate,total_return,total_return_pct,avg_trade_return,avg_trade_return_pct,max_drawdown,sharpe_ratio,profit_factor,avg_holding_days,total_commission,gross_profit,gross_loss
rsi_divergence,1402,1172,230,83.59%,3064575.0749476003,3064.58%,2185.8595399055635,109.47%,-1.79%,1.72,44.87,109.4,8621.5358524,3134436.3338182,69861.2588706
rsi_mean_reversion,1648,1245,403,75.55%,1518265.4870217,1518.27%,921.277601348119,46.15%,-4.65%,2.66,11.75,108.4,8046.4594783,1659434.3095239,141168.8225022
williams_extremes,1545,1005,540,65.05%,158288.5281916,158.29%,102.45212180686084,5.14%,-19.63%,1.58,2.09,26.8,6288.775208399999,302930.9230704,144642.39487879997
