symbol_id,symbol,fiscal_date_ending,report_type,reported_currency,gross_profit,total_revenue,cost_of_revenue,cost_of_goods_and_services_sold,operating_income,selling_general_and_administrative,research_and_development,operating_expenses,investment_income_net,net_interest_income,interest_income,interest_expense,non_interest_income,other_non_operating_income,depreciation,depreciation_and_amortization,income_before_tax,income_tax_expense,interest_and_debt_expense,net_income_from_continuing_operations,comprehensive_income_net_of_tax,ebit,ebitda,net_income,api_response_status,created_at,updated_at
3647,XPRO,2020-12-31,quarterly,USD,106762000.0,154190000.0,47428000.0,47428000.0,-8281000.0,5129000.0,45025000.0,117417000.0,,,,93000.0,,5453000.0,,28940000.0,-14982000.0,735000.0,,-8206000.0,,-8281000.0,20659000.0,-15717000.0,pass,2025-08-05 08:49:13.888082,2025-08-05 08:49:13.888082
2847,MOFG,2018-06-30,quarterly,USD,30873000.0,37515000.0,6642000.0,6642000.0,10287000.0,12617000.0,0.0,20586000.0,,,,5392000.0,,,,1636000.0,10287000.0,2131000.0,,8156000.0,,10297000.0,11933000.0,8156000.0,pass,2025-08-05 11:21:40.621695,2025-08-05 11:21:40.621695
19169,HPCO,2023-09-30,quarterly,USD,-437993.0,1326012.0,1764005.0,1764005.0,-2113803.0,1173244.0,,1675810.0,,-82109.0,,82109.0,,,,52959.0,-2261508.0,-34482.0,,-2261508.0,,-2179399.0,-2126440.0,-2210513.0,pass,2025-08-05 11:03:01.375248,2025-08-05 11:03:01.375248
10037,INMB,2024-09-30,quarterly,USD,,0.0,,,-12286000.0,2219000.0,10067000.0,12286000.0,,,,,,,,,-12093000.0,,,-12093000.0,,,-12286000.0,-12093000.0,pass,2025-08-05 10:39:07.923027,2025-08-05 10:39:07.923027
5014,RRBI,2020-06-30,quarterly,USD,20981000.0,24573000.0,3592000.0,3592000.0,8385000.0,7646000.0,,12596000.0,,16954000.0,19021000.0,2067000.0,,,,567000.0,8385000.0,1531000.0,,6854000.0,,8385000.0,8952000.0,6854000.0,pass,2025-08-05 09:16:13.683787,2025-08-05 09:16:13.683787
7049,DAVA,2021-03-31,quarterly,GBP,38514000.0,112311000.0,73797000.0,73797000.0,18038000.0,20476000.0,,20476000.0,,-1541000.0,,,,,,5057000.0,16497000.0,3511000.0,,12986000.0,,18038000.0,23095000.0,12986000.0,pass,2025-08-04 23:53:14.339166,2025-08-04 23:53:14.339166
19832,DTV,,quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,error,2025-08-04 23:25:04.432795,2025-08-04 23:25:04.432795
12508,POET,2015-06-30,quarterly,USD,,,,,-2915979.0,1942476.0,916709.0,2938772.0,,,,,,,,79587.0,-2915979.0,-22793.0,,,,-2938772.0,-2859185.0,-2915979.0,pass,2025-08-05 10:57:23.319644,2025-08-05 10:57:23.319644
7245,AORT,2018-12-31,annual,USD,172984000.0,262841000.0,89857000.0,89857000.0,9312000.0,140574000.0,23098000.0,163672000.0,,-15562000.0,226000.0,15788000.0,,,,18095000.0,-6391000.0,-2586000.0,,-2840000.0,,12112000.0,30207000.0,-3805000.0,pass,2025-08-04 23:27:36.752310,2025-08-04 23:27:36.752310
7468,APLS,2014-12-31,annual,USD,0.0,0.0,0.0,0.0,-11294000.0,2908000.0,8380000.0,11294000.0,,,,0.0,,,,6594.0,-11232000.0,-443000.0,,-10788483.0,,-11294594.0,-11288000.0,-10788000.0,pass,2025-08-05 10:33:32.786269,2025-08-05 10:33:32.786269
269,PDFS,2008-06-30,quarterly,USD,13216000.0,21114000.0,7898000.0,7898000.0,-3230000.0,5646000.0,9134000.0,14975000.0,,,,0.0,,,,1316000.0,-2979000.0,-1039000.0,,0.0,,-1759000.0,-443000.0,-1940000.0,pass,2025-08-05 10:28:49.681699,2025-08-05 10:28:49.681699
7102,CTRM,2021-03-31,quarterly,USD,3005020.0,6972853.0,3967833.0,3967833.0,1491439.0,1513581.0,,1513581.0,,-355116.0,,303134.0,,,,1088548.0,1127060.0,364379.0,,1127060.0,,1482179.0,2570727.0,1127060.0,pass,2025-08-05 09:20:58.818714,2025-08-05 09:20:58.818714
