symbol_id,symbol,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,created_at,updated_at
2311,MUX,2003-06-10,0.49,0.58,0.42,0.58,5.1868,54700,0.0,1.0,2025-07-09 09:10:09.247074,2025-07-09 09:10:09.247074
9230,HCXY,2024-09-24,25.38,25.54,25.38,25.5,24.3341,1837,0.0,1.0,2025-07-09 09:30:56.228829,2025-07-09 09:30:56.228829
5066,STZ,2015-02-13,113.3,113.48,112.2,113.03,98.1202,683001,0.0,1.0,2025-07-09 09:50:07.955425,2025-07-09 09:50:07.955425
634,NVGS,2014-01-21,27.5,27.53,26.59,26.63,25.9309,142600,0.0,1.0,2025-07-09 09:47:59.100585,2025-07-09 09:47:59.100585
5019,RS,2006-08-24,31.43,31.48,30.34,30.72,22.2927,807600,0.0,1.0,2025-07-09 10:14:59.907946,2025-07-09 10:14:59.907946
3230,VANI,2014-12-30,10.52,10.9195,10.52,10.76,258.24,108564,0.0,1.0,2025-07-09 10:50:11.702296,2025-07-09 10:50:11.702296
3896,XYF,2019-03-22,5.94,6.08,5.94,6.0,15.4828,9998,0.0,1.0,2025-07-09 09:48:52.907455,2025-07-09 09:48:52.907455
660,NVAX,2004-04-21,5.65,5.82,5.61,5.62,112.4,110300,0.0,1.0,2025-07-09 11:54:53.762120,2025-07-09 11:54:53.762120
2463,NBTB,2000-12-28,14.19,15.0,14.19,14.94,6.5513,31400,0.0,1.0,2025-07-09 10:54:48.380316,2025-07-09 10:54:48.380316
7384,ARGO-P-A,2024-02-01,23.88,23.88,23.6,23.65,21.278,13724,0.0,1.0,2025-07-09 10:25:21.364066,2025-07-09 10:25:21.364066
8322,AVNW,2024-12-13,17.95,18.35,17.73,18.12,18.12,314696,0.0,1.0,2025-07-09 12:19:45.519162,2025-07-09 12:19:45.519162
7141,CVGI,2010-01-22,5.3,5.56,5.2,5.27,5.27,51800,0.0,1.0,2025-07-09 10:37:25.666717,2025-07-09 10:37:25.666717
10418,EDBL,2025-03-06,2.21,2.39,2.21,2.23,2.23,74917,0.0,1.0,2025-07-09 11:52:33.110014,2025-07-09 11:52:33.110014
6668,DRD,2023-07-14,11.18,11.4799,11.08,11.3,10.4748,196518,0.0,1.0,2025-07-09 08:48:35.775341,2025-07-09 08:48:35.775341
10391,F,2017-11-14,12.1,12.16,11.99,12.02,8.4581,24115241,0.0,1.0,2025-07-09 09:36:32.134594,2025-07-09 09:36:32.134594
392,NSC,2021-11-22,274.34,279.63,273.98,277.06,256.312,803681,0.0,1.0,2025-07-09 08:52:19.590816,2025-07-09 08:52:19.590816
1259,PGC,2019-03-05,29.1,29.18,28.87,29.14,27.8554,53951,0.0,1.0,2025-07-09 10:43:45.947532,2025-07-09 10:43:45.947532
